ID,Text,Option 1 (w/ ID),Option 2 (w/ ID),Option 3 (w/ ID),Option 4 (w/ ID)
1000000000,,Start (1),,,
1,"First, some information for this research. What is your gender?",Male (2),Female (2),,
2,What is your age group?,0-18 (3),19-30 (3),31-45 (3),46+ (3)
3,"Hello, I am your guide for today. I do not have a name, but I am glad to have met you. You are part of an experiment; every choice you make has consequences. I will be taking you on a journey, far, far away. Ready to begin?",Begin Adventure (4),,,
4,"The year is 1900. You live in London, near the central city. Smog is everywhere. Everything reeks of filth. You wake up to the yelling of your mother. Do you respond?",Ask what she wants (5),Ignore her (6),,
5,There isn’t any bread left in the house and you need to go buy some from the market. Your mother gives you some money to buy some.,Ask for more money (8),Head outside (9),,
6,Your mother gives you the option to sleep in and make breakfast for the family instead. Do you get up or sleep in?,Wake up and do what she wants (5),Go downstairs and make breakfast (7),,
7,What will you plan to make?,French Toast (5) ,Buttered bread (5),,
8,"Your mother scoffs at you. There’s barely money in the house, anyways.",Leave the house (9) ,,,
9,"You make your way through the city's winding roads until the traffic gets noticeably heavier. As you enter the market, a couple of different shops catch your eye. Which one do you enter?",Grocery Store (10),Smoke Store (11),Gimmick Store(12),
10,You’re at the grocery store now. What would you like to buy?,Bread (10),Fish corpse(10),Leave (13),
11,You’re at the smoke store now.,Cigarette (11),Cigar (11),Leave (13),
12,You’re at the gimmicks store now.,Yo-yo (12),Pack of cards (12),Leave (13),
13,Do you want to leave the market?,Go to Gimmick Store (12),Go to Grocery Store (10),Go to Smoke Store (11),Leave the market (14)
14,"As you leave the market, you hear a commotion coming in the distance. People are yelling loudly. Do you head towards the noise?",Head towards noise (15),Ignore noise and head home (17),,
15,"There's a large crowd around you, now, and a large, hooded figure sprints towards you. He's clutching an expensive, emobroidered purse in his hands. He's a thief, and everyone's trying to stop him. Do you confront the thief?",Confront him (18),Don't confront him (500),,
,,,,,
17,"You choose to turn the other way and walk towards home. A few minutes later, a hooded figure brushes past you, walking quickly. You see that he is holding a pink, emobroidered purse in stark contrast to his dark outfit. It's obvious that the purse is not his, and you realize this is what was causing the commotion earlier. Do you confront the thief?",Confront him (18),Don't confront him (500),,
18,"You yell at the man to stop, but he begins to run even faster until he's past you now. You start following him faster. The man seems dangerous, and it looks like he's carrying a knife. If you jump on him, you should be able to stop him, but it might be kind of risky.",Tackle the man (19),Throw a rock at him (20),,
19,"You jump on the man and tussle on the ground. He grunts, reaches for his pocket, and pats you on your chest before pushing you off and sprinting away. You stand there, and a few people from afar rush to commend you. You can't help feeling helpless, though.",Take the short way home (21),Take the long way home (21),,
20,"The rock bounces off the man. Before you can realize what's happening, the man runs back to you, pats your chest, and then disappears into the winding streets of London.",Take the short way home (21),Take the long way home (21),,
21,"As you're walking home, it begins to rain. You take your time, but as you're walking you notice your shirt pocket feeling a bit heavier. You reach inside and find a note.",Read the note (22),,,
22,"The note is almost illegible, but you can make out an address. It must have been the thief. It's in the sketchier areas of London. Do you head towards it?",Head towards address (23),Ignore Note (24),,
23,"You turn around in the street, then turn around again. Finally, you find your sense of direction. Time to see what's going on.",Start trek (25),,,
24,"You ignore the note, but curiosity gets the better of you. You turn around and start towards the foreign district.",Start trek (25),,,
25,"As you're walking, you notice the streets becoming dirtier. Everything is dark and gloomy here. A homeless man comes up to you, trying to talk. He looks sketchy, and you don't know where he's been. Do you engage?",Talk with him (26),Ignore him (29),,
26,He asks where you're heading.,Show him the address (27),Tell him you're heading home (28),,
27,"The man looks at the address and thinks for a bit. Suddenly, his eyes widen and he starts walking away. Unexpectedly, the homeless man swerves in front of a train which hits him.",Continue walking (29),,,
28,"The man calls you a liar. No one lives around these parts. With that, he turns and walks away. Unexpectedly, the homeless man swerves in front of a train which hits him.",Continue walking (29),,,
29,"All the buildings are grimy, now, and blackness is everywhere. Finally, you arrive at the address. It's a small bookstore stuck between two non descript buildings, two non descript buildings, two. Sorry, I messed up. You climb up the stairs until you reach the door. ",Knock (30),Walk in (32),,
30,"You knock on the door, but no one opens. Weird, weird, isn't it all so weird?",Turn around (31),Walk in (32),,
31,"As you're walking down the stairs, the door to the store slowly creaks open.",Enter store (32),,,
32,"You enter, but there's no one inside. The store is grim and cluttered, with bookshelves and novels strewn around carelessly. Where do you begin?",Head towards cage (33),Search books (34),Search counter (35),
33,"There looks to be an animal cage here, but there's no animal in sight. There's a bit of stale food here, but nothing else",Search Books (34),Search counter (35),,
34,"There's a variety of different books here, but none of them seem too interesting.",Head towards cage (33),Search counter (35),,
35,"As you head towards the counter, you notice an unsusual crevice in the wall. You walk a bit closer to it, cautious of why it's there. As you get closer, you realize it's actually a tunnel dug into the wall, but it's completely dark. Do you enter?",Enter the tunnel (37),Back off (36),,
36,"You walk away from the tunnel, but as you walk away you slip on a rug and fall into a hole. Except, it's not just a hole. You're falling, now, sliding down some type of slide.",Cover your head (38),,,
37,"You enter the tunnel, and walk forward a bit. It's pitch black. Suddenly, you're falling. Falling, falling, into a slide, endlessly. ",Cover your head (38),,,
38,"After some time, you land on some soft cushioning in a dimly lit room. It's small, with only a door decorating any walls. After some time, a man enters and tells you to follow him. You try talking to him, but he doesn't respond.",Follow man through door (39),,,
39,"You walk through the door and notice the air feels different. Your eyes take a second to adjust to the torches, but when they do you realize you're in a huge cave. It's massive; the top of the cave is hundreds of feet above you, and carts and tracks line the walls, spiralling in endless directions. There's hundreds of people here, bustling in every direction. They all seem occupied. The cave is endless, almost like you're in an underground society.",Follow man into cart (40),,,
40,"As you enter the cart, the man pulls a lever that takes you zipping away. You slowly rise, climbing up the tracks and onto the walls of the cave. As you're speeding through, you notice someone's cart derail and crash, surely killing whoever is inside. The man doesn't acknwoledge them, though.",Enjoy the ride (41),,,
41,"Finally, the man, the man, sorry, I messed up. Finally, the man turns around and acknowledges you. I liked you, kid, that you fought back earlier today. ",Nod at the thief (42),Stay quiet (42),,
42,"You see, we're an underground resistance group against the rich in London. We're a Robin Hood, of sorts, and now you're a part of us.",Object (43),Nod (43),,
43,"You don't have much of a choice here, really. Now that you're here, you're a part of us. With that, the man stops talking and the cart slows to a stop. Hundreds of feet above the ground.",Follow the man out (44),,,
44,"You're on a small ledge now. Now, finally, finally, finally, after so long, the man turns to you, quietly, and jumps off the ledge.",Jump after the man (45),Back away (46),,
45,"You prepare to jump, but a boy pulls you away. He takes you by the hand and leads you to a room indented in the wall.",Follow him (47),,,
46,"You back away, and a boy appears who grabs you by the wrist and pulls you into a room indented in the wall.",Follow him (47),,,
47,"He pushes you into the room, where there's a man in a cloak in the corner. He's in the corner, the man in the cloak. There's a man in the cloak, in the corner. Ha ha ha.",Approach me (1000),Ignore me (48),,
48,I have let you have your fun. Now do not forget who is really in charge here.,Approach me (1000),Approach Me (1000),,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
500,You figure that that's none of your business and continue on your merry way. You zone out for a bit in your stroll until the sound of a ship's horn breaks you out of your daydreaming. This must be the ship bound for America that everybody's been talking about. ,Explore the ship (501),Explore the shoreline (502),,
501,"As you walk onto the dock, a grimy man stops you. He says, You need a ticket to get onto the ship. Lucky for you, I have an extra that I'm giving away for only 2 coins.",Buy the ticket (503),Double back and try to sneak by him.(503),,
502,"As you walk along the shoreline, your eyes focus on the distant horizon and you watch the waves crash onto the shore. You sit down on the dock and feel more at peace than you have for a long time. In your lull of focus, you don't realize how dark it gets until you can barely see.",Make your way home (504),Find a place to sleep (505),,
503,"You manage to get by and make your way up to the ship, one of the largest you have ever seen in your life. People are milling around preparing for the next trip and there are barrels of goods you have never seen before scattered everywhere. Soon it gets late, and the sky grows dark.",Make you your way back home (504),Stay a bit longer to check out the lower deck (505),,
504,"As you turn towards home, you realize you have made a grave mistake. The cloudy sky and how far you are from the main city makes it difficult to see more than a couple meters. You stumble around for a few moments before you realize it's hopeless.",Find a place to sleep until morning(505),,,
505,"You blindlessly walk around until you venture up a sloped area, lay down, clutch your bag tightly, and close your eyes.",Sleep(506),,,
506,You wake up feeling a bit nauseous and have the sense that something is not quite right. The earth feels like it is swaying beneath you and your bag is no longer in your arms.,Look for your bag (507),Look around (509),,
507,"Groggily, you fumble around in the night along the ground, groping around for your bag. It doesn't seem to be in close proximity.",Look further away (508),Keep searching in a close circle (508),,
508,"After unsucessfully reaching in the darkness around you, you are forced to get up to continue the search.",Stand up (509),,,
509,"Best as you can, you stand up and survey your surroundings. The sinking feeling you had is confirmed.",You are on a ship (510),,,
510,"As unbelievable as it is, you finally accept that you are aboard a ship. You have no idea how far you are from shore. ",Try to swim back (511),Stay on the ship(514),,
511,"The thought of leaving your life behind is too much. You rashly decide to jump ship. But as you make your way towards, the ship railing, a young, high pitched voice calls out to you. You hear them yell out. Don't even think about jumping, we are miles from shore.",Risk putting a face to the voice (513),Hide (512),,
512,You quickly head in the opposite direction of the voice and hide behind a small cabin. You hear footsteps quickly approaching.,Move hiding spots (513),Stay where you are (513),,
513,You were never the best at hide and seek. A person turns the corner and spots you. There you are!,Meet him (514),,,
514,"The young boy grins devilishly at you. Hey, I haven't seen you around here before! You are not supposed to be here are you?",Tell him the truth (515),Lie (516),,
515,"You tell the truth about your situation. Good. I like players that tell . I mean, the boy seems to accept your explanation. Makes sense, cause you don't look prepared for a long journey. The boy takes.a step forward.",Continue talking (517),Back away (517),,
516,"You lie! How dare you lie to me, lie to the boy. Don't you know liars deserve to be punished? Things do not end well when one attempts to conceal the truth, said the young boy. The boy takes a step forward.",Apologize (518),Back away (517),,
517,The way that the boy looks at you is uncanny. You decide to make a run for it. You arrive at the front of what looks to be the captain's cabin. ,Barge inside (519),Keep running (520),,
518,The boy gets closer. You don't belong belong here. You don't don't belong. Don't belong. ,Shove the boy (520),Run into the captain's cabin (519),,
519,"You break in. At first, it seems empty, until you notice a body slumped over the central desk. It stirs at your entrance.",Investigate the mysterious body (520),Go back outside (521),,
520,"Before you ma make make your next move, the boy seems to relax and his body becomes ragdoll like. He loses complete interest in you as he turns around and walks confidently to the edge of the ship. Then, the young, innocent boy that did nothing wrong throws himself off the ship.",End this nightmare (522),Keep exploring (523),,
521,"As you take your next step, the body suddenly comes to life, straightening quickly and staring at you you who doesn't belong here belong here. With a blank stare in his face, he walks by you, onto the deck, and off the edge the ship, into the sea. The boy is nowhere to be found.",End this nightmare (522),Keep exploring (523),,
522,"You decide you have had enough of my the nonsense and you decide to sleep, so you lay back down.",Close your eyes (524),,,
523,"You look around the ship, but it seems to be completely lifeless. For the moment, everyone seems to be asleep and the ship steers itself through the night. Your eyes get droopy from the chaos of the past few minutes, and you lay down.",Sleep (524),,,
524,"You have a weird dream. You see 10 people with their backs turned near the railing of the ship. One by one, they begin calmly to step off the edge into the treacherous ocean below.",Wake up (525),,,
525,"As you awaken, you see the more people milling about the ship but something is not right. There is a certain stillness in the air, as if the people do not know each other exist.",Ask someone what is going on (526),Ignore them (526),,
526,"They say nothing and do not even acknowledge us. They keep their eyes fixed on the distance as if they are but shells of a real person. Randomly, people disappear off the ship into the sea, without purpose or reason. This is not their place, just like it is not yours.",What is going on? (527),,,
527,You turn towards the bow of the ship and you see a figure with their back turned that doesn't seem quite like the others. ,Approach me (1000),Ignore me (528),,
528,I have let you have your fun. Now do not forget who is really in charge here.,Approach me (1000),Approach me (1000),,
,,,,,
,,,,,
,,,,,
1000,"You're a smart one. Look, I'll admit it, it was me, the narrator. I was the one causing all the chaos. Look, sometimes the world needs some evil.",Keep listening (1001),Ignore me (1001),,
1001,Do you really think you have a choice here? I control what happens next and I control this world.,Keep listening (1002),Ignore me (1002),,
1002,"Silly, silly, player. I killed everyone. You think you matter? You're just a pawn in this game, nothing more than an observer.",Keep listening (1003),Ignore me (1003),,
1003,"You fool, it was me all along. Do you want to talk to me, now? Maybe get to know me?",Talk with me (1004),Stay quiet (1006),,
1004,"I'm glad you've decided to talk. So, how have you been today? Answer nicely and maybe I'll let the other people you've met stay alive.",Doing well (1006),Doing bad (1006),,
,,,,,
1006,"Woops. I really don't care, either way. Do you remember your mother, the one who made you get bread? Yeah, well, she's dead now too. Ha. Ha. Ha.",Yell at me (1007),Stay quiet (1007),,
1007,"I don't care what you do, anymore, really. Look, I'll tell you what to do, now, and you better listen. Press the button on the left, or it's not going to be good.",Left (1008),Right (1009),,
1008,"Good, good, you follow instructions nicely. Press the button on the left again.",Left (1010),Right (1011),,
1009,You 're making me angry. Press the button on the left again.,Left (1011),Right (1010),,
1010,"That's it. You've disobeyed me one too many times. Now, I'll punish you the worst I can. I'll give you control over everything, everyone,  and do the worst I can to you. I'll make you, me.",Shut me off (1012),,,
1011,"Look, I don't care that you've been good. I'm going to punish you. I'm going to make someone else the narrator now.",Accept (1012),,,
1012,The year is 2020.,Continue (1013),,,
1013,"There's someone sitting in front of a screen, playing a game for research.",Continue (1014),,,
1014,"They've finished the game, now and are reaching the end.",Continue (1015),,,
1015,"But, did they ever have any control of the game to begin with?",Continue (1016),,,
1016,"Who knows? They're done with the game, and they close the browser once and for all.",,,,
